,Unnamed: 0,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,commissioning_year,owner,source,url,geolocation_source,year_of_capacity_data,zone_1,zone_2
0,72,Argentina,ATUCHA I,ARG0000029,370.0,-33.967,-59.2059,1974.0,NASA,Ministerio de Energía y Minería,http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx,Ministerio de Energía y Minería,2015.0,8.296,41.48
1,73,Argentina,ATUCHA II,ARG0000030,745.0,-33.9674,-59.2045,2014.0,NASA,Ministerio de Energía y Minería,http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx,Ministerio de Energía y Minería,2015.0,8.596,42.980000000000004
2,197,Argentina,EMBALSE,ARG0000112,648.0,-32.2316,-64.4422,1984.0,NASA,Ministerio de Energía y Minería,http://energia3.mecon.gov.ar/contenidos/archivos/Reorganizacion/informacion_del_mercado/publicaciones/mercado_electrico/estadisticosectorelectrico/2015/A1.POT_GEN_COMB_POR_CENTRAL_2015.xlsx,Ministerio de Energía y Minería,2015.0,8.5184,42.592
3,294,Armenia,Armenian-2,WRI1019028,375.0,40.1805,44.1498,1980.0,Armenian Nuclear Power Company,IAEA,https://www.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=2,GEODB,,8.3,41.5
4,942,Belgium,DOEL 4,WRI1002223,2910.0,51.3254,4.2597,1985.0,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,GEODB,,10.328,51.64
5,978,Belgium,TIHANGE 1N,WRI1002275,962.0,50.5342,5.2751,1975.0,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,GEODB,,8.7696,43.848
6,979,Belgium,TIHANGE 3,WRI1002277,2053.8,50.5342,5.2751,1985.0,,ELIA Belgian Grid Operator,http://publications.elia.be/upload/ProductionParkOverview.html?TS=20120416193815,GEODB,,9.643040000000001,48.2152
7,1099,Brazil,Almirante Álvaro Alberto - Unidade I (Antiga Angra I),BRA0000100,640.0,-23.0087,-44.4574,1985.0,,Agência Nacional de Energia Elétrica (Brazil),http://www2.aneel.gov.br/aplicacoes/capacidadebrasil/capacidadebrasil.cfm,Agência Nacional de Energia Elétrica (Brazil),2017.0,8.512,42.56
8,1100,Brazil,Almirante Álvaro Alberto - Unidade II (Antiga Angra II),BRA0000101,1350.0,-23.0072,-44.4588,2000.0,,Agência Nacional de Energia Elétrica (Brazil),http://www2.aneel.gov.br/aplicacoes/capacidadebrasil/capacidadebrasil.cfm,Agência Nacional de Energia Elétrica (Brazil),2017.0,9.08,45.4
9,3395,Bulgaria,KOZLODUY,WRI1008053,2000.0,43.7438,23.7723,,,ENTSOE,https://transparency.entsoe.eu/generation/r2/installedCapacityPerProductionUnit/show,WRI,,9.6,48.0
